,pais,proyeccion_2021,porcentaje,CMA,CAAP,PCMATA,AED,CMR
0,China China[13]​,1 410 183 000,"18,07","0,48",6 794 000,"7,14",144,1 413 950 000
1, India,1 389 754 000,"17,81","1,34",18 653 000,"19,60",52,1 381 679 000
2, Estados Unidos,334 138 000,"4,28","0,71",2 356 000,"2,48",99,330 168 000
3,Indonesia Indonesia,272 352 000,"3,49","1,06",2 890 000,"3,04",66,270 203 917
4,Pakistán Pakistán,225 200 000,"2,89","2,30",5 189 000,"5,45",30,225 200 000
5,Brasil Brasil,212 897 000,"2,73","0,70",1 487 000,"1,56",100,212 878 000
6,Nigeria Nigeria,211 401 000,"2,71","2,04",4 307 000,"4,53",34,211 401 000
7,Bangladés Bangladés,172 373 000,"2,21","1,37",2 369 000,"2,49",51,171 679 000
8,Rusia Rusia[14]​,146 133 000,"1,87","-0,15",-212 000,-,-,146 238 185
9,México México,127 950 000,"1,64","1,18",1 515 000,"1,59",59,126 014 024
10,Japón Japón,125 296 000,"1,61","-0,44",-549 000,-,-,125 480 000
11,Filipinas Filipinas,110 272 000,"1,41","1,38",1 522 000,"1,60",51,108 771 978
12,República Democrática del Congo República Democrática del Congo,105 451 000,"1,35","3,45",3 639 000,"3,82",20,101 935 800
13,Etiopía Etiopía,103 359 000,"1,32","2,35",2 428 000,"2,55",30,100 988 000
14,Egipto Egipto,102 980 000,"1,32","1,96",2 021 000,"2,12",36,101 668 000
15,Vietnam Vietnam,98 697 000,"1,26","1,15",1 130 000,"1,19",61,97 580 000
16,Irán Irán,84 860 000,"1,09","1,26",1 073 000,"1,13",55,84 038 000
17,Turquía Turquía,84 089 000,"1,08","1,14",960 000,"1,01",61,83 614 362
18,Alemania Alemania,83 435 000,"1,07","0,39",327 000,"0,34",177,83 190 556
19, Tailandia,68 470 000,"0,88","0,35",240 000,"0,25",198,66 641 000
20,Reino Unido Reino Unido,67 564 000,"0,87","0,57",386 000,"0,41",122,66 796 807
21, Francia[15]​,65 323 000,"0,84","0,36",235 000,"0,25",193,65 227 000
22, Sudáfrica,60 594 000,"0,78","1,63",988 000,"1,04",43,59 622 350
23,Tanzania Tanzania,59 442 000,"0,76","3,21",1 911 000,"2,01",22,59 441 988
24,Italia Italia,59 377 000,"0,76","0,21",124 000,"0,13",334,59 304 696
25,Birmania Birmania,54 806 000,"0,70","1,16",634 000,"0,67",60,54 806 000
26,Corea del Sur Corea del Sur,51 868 000,"0,66","0,20",106 000,"0,11",338,51 824 142
27,Colombia Colombia,51 049 000,"0,65","1,66",846 000,"0,89",42,51 049 498
28,Kenia Kenia,49 416 000,"0,63","2,10",1 040 000,"1,09",33,47 564 296
29,España España[16]​,47 555 000,"0,61","0,43",205 000,"0,22",161,47 351 567
30, Sudán,45 810 000,"0,59","2,95",1 351 000,"1,42",24,43 424 000
31, Argentina[17]​,45 809 000,"0,59","0,95",436 000,"0,46",73,45 808 747
32,Argelia Argelia,45 101 000,"0,58","1,82",820 000,"0,86",38,44 700 000
33,Uganda Uganda,42 886 000,"0,55","3,12",1 337 000,"1,40",23,42 885 900
34,Ucrania Ucrania[18]​,41 468 000,"0,53","-0,51",-211 000,-,-,41 554 836
35,Irak Irak,41 191 000,"0,53","2,59",1 068 000,"1,12",27,41 190 700
36,Canadá Canadá,38 247 000,"0,49","1,05",403 000,"0,42",66,38 048 738
37,Polonia Polonia,38 244 000,"0,49","0,00",1 000,"0,00",35 558,38 244 000
